state,city,branch,address,latitude,longitude
GUJARAT,Bayad,BAYAD,"F-155, FIRST FLOOR, SREEJI DADA COMPLEX, NEAR KESHAV HOSPITAL, BAYAD, DIST ARAVALI",23.223308,73.214953
GUJARAT,Bharuch,Bharuch,"7X Business hub, 313, third floor, near bus stop collage road maitri nagar society Bholav, Bharuch , Distt.-Bharuch",21.7155292,73.001819
GUJARAT,Bhavnagar,BHAVNAGAR,"EVA COMPLEX, OFFICE NO.-101 & 102, FIRST FLOOR, OPP. GULISTA GROUND, WAGHAWADI ROAD, BHAVNAGAR, DISTT.-BHAVNAGAR",22.271048,73.724388
GUJARAT,Bhuj,BHUJ,"HALL NO.-4 & 5, FIRST FLOOR, KATIRA COMPLEX (KNOWN AS RTO RELOCATION SITE PROJECT B), BHUJ, DISTT.-KUTCH",23.2383801,69.6819976
GUJARAT,Bodeli,BODELI,"OFFICE NO.-FF 17, BK HEIGHT, CHHOTAUDEPUR ROAD, VILLAGE-CHACHAK, TAL.-BODELI, DISTT.-CHHOTAUDEPUR",,
GUJARAT,Borsad,BORSAD,"SHOP NO. 19, BHAI SHREE MALL, ANAND CHOKADI, BORSAD",22.420984,72.899046
GUJARAT,Botad,BOTAD,"OFFICE NO.-101, FIRST FLOOR, SHALIBHADRA MARKET, TOWER ROAD, VILLAGE & TALUKA-BOTAD, DISTT.-BOTAD",22.172325,71.666325
GUJARAT,Dahod,DAHOD,"OFFICE NO.-4, SECOND FLOOR, SAMRUDHI COMPLEX, COLLEGE ROAD, NR. SAMIR HOSPITAL, ZALOD HIGHWAY, DAHOD, DISTT.-DAHOD",22.853208,74.246332
GUJARAT,Dakor,Dakor,"Apollo Complex, Office No. 3933, Ground Floor, Near Radhe Hospital, Umreth Road, Dakor, Dist. Kheda",22.747511,73.152703
GUJARAT,Deesa,DEESA,"OFFICE NO.-S-2 & S-3, SECOND FLOOR, PUSHPANJALI HEIGHTS, OPP. JALARAM MANDIR, RANPUR ROAD, TA-DEESA, DISTT.-BASANTKANTHA",24.263038,72.186854
GUJARAT,Dehgam,DEHGAM,"SHOP NO. 125, FIRST FLOOR, BALMUKUND COMPLEX, TEH. DEHGAM, DIST- GANDHINAGAR",23.165483,72.811617
GUJARAT,Deodar,DEODAR,"J-318, OFFICE NO.-1 & 2, FIRST FLOOR, OPP. SATI JASMA COMPLEX, NEAR INDIAN OIL PETROL PUMP, BHABHAR-KHIMANA HIGHWAY, DEODAR, DISTT.-BANASKANTHA",24.112979,71.779821
GUJARAT,Devgadh Baria,DEVGADH BARIA,"208, SECOND FLOOR, SHIV PLAZA, RAJ MAHAL ROAD, DEVGADHBARIA, DISTT.-DAHOD",22.705909,73.912305
GUJARAT,Dhandhuka,DHANDHUKA,"OFFICE NO.-2, DWARKADHISH COMPLEX, FIRST FLOOR, RANPUR ROAD, DHANDHUKA, DISTT.-AHMEDABAD",22.379807,71.971586
GUJARAT,Dhasa,Dhasa,"Sarthi - 2, Office No. â 2, First Floor, Plot No. â 3, R S No. â 263, Bhavnagar - Rajkot Highway, Dhasa, Tal-Gadhada, Dis â Bhavnagar",21.804861,71.512827
GUJARAT,Dholka,DHOLKA,"SHIVALIK ARCAD, OFFICE NO.-F-33, FIRST FLOOR, NEAR PARSHWANATH CIRCLE, GUNDRA-KALIKUND ROAD, DHOLKA, DISTT.-AHMEDABAD",22.742936,72.442089
GUJARAT,Dhrangdhra,DHRANGDHRA,"OFFICE NO.-106, FIRST FLOOR, OPP. HDFC BANK. NEAR MEVADA OIL MILL, HALVAD ROAD, DHRANGADHRA, TALUKA-DHRANGADHRA, DISTT.-SURENDRANAGAR",22.997675,71.449047
GUJARAT,Gandhi Nagar,GANDHI NAGAR,"SHOP NO. 10, SECTOR-1, SARTHAK MALL, SARGASAN CHOUKADI, TEH & DIST- GANDHINAGAR",23.19518645,72.61462719
GUJARAT,Gandhidham,GANDHIDHAM,"OFFICE NO.-107, FIRST FLOOR, SHREE AMBIKA ARCADE, PLOT NO.-300, 12/B, OPP. C G HIGH SCHOOL, GANDHIDHAM",23.066678,70.136547
GUJARAT,Gariyadhar,Gariyadhar,"Office No-14, Second Floor, Opp. Arjun Cinema, Palitana Road, Gariyadhar, Dist. Bhavnagar",21.543035,71.581512
GUJARAT,Godhra,GODHRA,"SHOP NO.-07&08, FIRST FLOOR, MARUTINANDAN COMPLEX, NEAR HANUMANJI TEMPLE, GODHRA-DAHOD ROAD, VAVDI GUZURG, GODHRA, DISTT.-PANCHMAHAL",22.774859,73.637984
GUJARAT,Himmat Nagar,HIMMAT NAGAR,"OFFICE NO.-204, SECOND FLOOR, SUN COMPLEX-1, MOTIPURA CIRCLE, HIMMATNAGAR, DIST- SABARKANTHA",23.580532,72.959422
GUJARAT,Idar,IDAR,"FIRST FLOOR, SHANKHESWAR COMPLEX, NR.RAILWAY CROSSING, OPPOSITE LIC OFFICE, IDAR, DISTT.-SABARKANTHA",23.832361,73.001359
GUJARAT,Jambusar,JAMBUSAR,"Mala Complex, Office No-3, First Floor, Above Bank of Baroda, Khanpuri Bhagol, Ring Road, Ta :-Jambusar, Di :- Bharuch, Jambusar",22.049635,72.798766
GUJARAT,Jamkhambhaliya,JAMKHAMBHALIYA,"OFFICE NO. 2 & 3, OPP. LIC OFFICE, RAILWAY STATION ROAD, AT-JAMKHAMBHALIYA",22.213884,69.656953
GUJARAT,Jamnagar,JAMNAGAR,"302/A, THIRD FLOOR, MADHAV SQUARE, OPP. CRICKET BANGLOW, LIMDALINE, TEH. JAMNAGAR-361008 (GUJARAT)",22.47183598,70.06578518
GUJARAT,Jasdan,Jasdan,"Dharati Arcade -3, Office No-8, First Floor, Near New Marketing Yard, Vichhiya Pase, At :- Jasdan, Ta & Di :- Rajkot",22.048511,71.218797
GUJARAT,Jetpur,JETPUR,"SAVITA ESTATE, SECOND FLOOR, OFFICE NO.-5, TINBATTI CHOWK, JETPUR, DISTT.-RAJKOT",21.75396,70.617734
Gujarat,Jhalod,JHALOD,"Office No :- Na, 01ST Floor, Opp. HDFC BANK, Nr. Mahindra Finance, Above Adil Tyre, Rayan Faliya Muvada, At Zalod Di :- Dahod",23.0929109505636,74.1539838875865
GUJARAT,Junagarh,JUNAGARH,"TRIDENT PLAZA, OFFICE NO.-203, SECOND FLOOR, OPP. ELEGANCE HEIGHTS, ZANZARDA ROAD, MONALISA TWP, JUNAGADH, DISTT.-JUNAGADH",21.524055,70.43631
GUJARAT,Kalol,KALOL,"OFFICE NO:-F/125, FIRST FLOOR, SANIDHYA ARCADE, OPP. SINDBAD HOTEL, AHMEDABAD-MEHSANA HIGHWAY, KALOL, DISTT.-GANDHINAGAR",23.2528081,72.4841667
GUJARAT,Kathlal,KATHLAL,"SHOP NO.-11, KESHAV ARCADE, OPP. MADHAV COMPLEX, AHEMDABAD ROAD, KATHLAL, TA-KATHLAL DIST-KHEDA",22.893832,72.980987
GUJARAT,Kheda,KHEDA,"OFFICE NO.-F1, FIRST FLOOR, ALAXA PLAZA COMPLEX, NEAR NH-8, AT-KHEDA, TALUKA & DISTT.-KHEDA-387411 (GUJARAT)",22.745635,72.685234
GUJARAT,Kim,Kim,"Shree Sai Lila Residency, First Floor, Office No. F/19, Station Road, Village Kudsad, Tehsil Olpad, Kim, District Surat",21.398661,72.931328
GUJARAT,Lunawada,LUNAWADA,"Office No.-25 &26 , First Floor, Opposite Varundavan Hotel, Near Teja Hotel, Godhra Road, Dist:- Nahisagar, Ta:- Lunawada",23.119959,73.611169
GUJARAT,Mahuva,MAHUVA,"ASHOK ARCADE, PLOT NO.-166, OFFICE NO.-6, SECOND FLOOR, NEAR KUBERBAUG, MAHUVA, DISTT.-BHAVNAGAR",21.092575,71.763264
GUJARAT,Mehsana,MEHSANA,"OFFICE NO 201-202-203, SECOND FLOOR, SHIVAM COMPLEX, NR. PASA BHAI PETROL PUMP, NAGALPUR HIGHWWAY ROAD, MEHSANA",23.586858,72.375862
GUJARAT,Modasa,MODASA,"SHOP NO.-110, FIRST FLOOR, PAVAN CITY COMPLEX, MEGHRAJ ROAD, MODASA, DISTT.-ARAVALLI",23.466809,73.305421
GUJARAT,Morbi,MORBI,"Landmark Arcade, Office No.- 305, 3rd Floor, Sanala Road, Near Samay Gate, Opp. Sky Mall, Morbi",22.3716611,70.4694549
GUJARAT,Mundra,Mundra,"Ashoka Vatika, Office No-12, First Floor, Plot no. 1, Dhrab Char Rasta, Rasapir Circle, Mundra Ta :- Kachchh",22.83541,69.687547
GUJARAT,Nadiad,NADIAD,"Shreyas Lalwani Empire, Office no. 107, First Floor, Pij road, Behind Railway Station, Tehsil Nadiad, District Kheda, Nadiad",22.695133,72.859202
GUJARAT,Nakhatrana,NAKHATRANA,"OFFICE NO.-1, FIRST FLOOR, SHRINATH COMPLEX, OPPOSITE BUS STAND, NAKHATRANA",23.347878,69.266078
GUJARAT,Naroda,NARODA,"ELYSIUM SQUARE, OFFICE NO. 302, 303, 304, THIRD FLOOR, OPP. MARUTI PLAZA, NATIONAL HIGHWAY, ROAD. NO.-8, KRISHNANAGAR, SAIJPUR BOGHA, AHMEDABAD",23.050683,72.643263
GUJARAT,Narol,NAROL,"RADHE KISHAN BUSINESS PARK, OFFICE NO.-608 TO 612, SIX FLOOR, BLOCK- B-1, OPP. HP PETROL PUMP, NAROL ISANPUR HIGHWAY, AHMEDABAD",22.974589,72.593246
GUJARAT,Navsari,NAVSARI,"OFFICE NO. FF-15, LUNCIKUI, MAIN ROAD, NAVSARI",20.947134,72.937202
GUJARAT,Palanpur,PALANPUR,"71, SECOND FLOOR, SANSKRUT COMPLEX, OPP. INCOME TAX OFFICE, ABU HIGHWAY HI-WAY, PALANPUR, DISTT.-BANASKANTHA",24.178603,72.418823
GUJARAT,Patan,PATAN,"F/16, KRUSHNAM PLAZA, OPP. COURT, NEAR SIDHPUR CHAR RASTA, PATAN",23.8506,72.134703
GUJARAT,Porbandar,PORBANDAR,"SHOP NO.-25, BALAJI COMPLEX, OPP. BHARTI VIDHYALAY, PORBANDAR",21.634457,69.625297
GUJARAT,Radhanpur,RADHANPUR,"SHOP NO.-78, FIRST FLOOR, MARUTI PLAZA, KANDLA HIGHWAY ROAD, TEHSIL-RADHANPUR DISTT.-PATAN",23.8259,71.614698
GUJARAT,Rajkot,RAJKOT,"THE MILLENNIUM, OFFICE NO-408, FOURTH FLOOR, OPP. SILVER HEIGHTS, NEAR MAVA CIRCLE, 150 FEET RING ROAD, TA & DIST-RAJKOT",22.2958887,70.7980622
GUJARAT,Rajpipla,RAJPIPLA,"SURYA PLAZA, IN THE COMPRISED IN OFFICE NO.-34, FIRST FLOOR, MV ROAD, RENTON VILLAGE, RAJPIPLA, TAL.-NANDOD, DISTT.-NARMADA, GUJARAT",21.871598,73.507609
GUJARAT,Sanand,SANAND,"SHOP NO. 9, FIRST FLOOR, MADHAV COMPLEX, NEAR SANAND POLICE STATION, SANAND, AHMEDABAD",22.98771,72.387353
GUJARAT,Santrampur,SANTRAMPUR,"OFFICE NO.-931, SECOND FLOOR, OPP. RAJ TRACTOR & SAIMAND HOTEL,NEAR MRF TYRE SHOWROOM, NUIRSINGPUR COLLEGE ROAD, SANTRAMPUR",23.180348,73.894672
GUJARAT,Satlasana,SATLASANA,"JB Complex, Office No.- 3, First Floor, Block âA, Opp. Nayara Petrol Pump, Ambaji Highway Road, Satlasana Di :- Mehsana",24.017958,72.789286
