State,City,Branch,Address,Latitude,Longitude
Andhra Pradesh,Srikakulam,Srikakulam,"Ground Floor (Upper Ground Floor), Shop No. G6 & G7, R.S. Devi Complex, Rama Laxman Junction, G.T. Road, Srikakulam- 532001, Andhra Pradesh",18.304495,83.896786
Andhra Pradesh,Visakhapatnam,Akkayapalem Visakhapatnam,"Ground Floor (UGF), Premise No. 45-40-41, Surya’s Lakshmi Ramana Plaza, Akkayapallem, Opp: More Super Market, Visakhapatnam- 530016 Andhra Pradesh",17.738356,83.30154
Andhra Pradesh,Vishakhapatnam,"Madhurawada, Vishakhapatnam","Ground Floor, Premises bearing no.16/4E,Sea Trust Building, 80 Feet Road, P.M.Palem, Madhurawada,  Visakhapatnam, Andhra Pradesh 530041",17.822835,83.362911
Andhra Pradesh,Guntur,Narasaraopet,"Ground Floor, Premises bearing No. 9-6-23, Arundalpet, Narasaraopet-522601, District Guntur, Andhra Pradesh",16.235181,80.045985
Andhra Pradesh,Krishna,"Gurunanayk colony, Vijayawada","Ground Floor, bearing no. 54-15/7 A, Srinivas nagar Bank Colony (Gurunanak Colony), Ring Road, Vijaywada, Andhra Pradesh – 520008",16.512725,80.668146
Andhra Pradesh,Visakhapatnam,Murali Nagar Vishakhapatnam,"Ground Floor, Plot No. 08, Sy No. 54 & 55, Madhavadhara Village, Bank Street, Muralinagar, NR Function Hall, Vishakhapatnam, Andhra Pradesh Pin code 530007",17.746415,83.260998
Andhra Pradesh,West Godavari,Tadepalligudem,"Ground Floor, No. 1-47-5, K.N.Road, Revenue Ward No.12, Tadepalliguddam, District West Godavari, Andhra Pradesh – 534101",16.813924,81.505508
Andhra Pradesh,Krishna,Gollapudi Vijayawada,"Ground Floor, Shop no.164, Mahatma Gandhi Wholesale Commercial Complex, Mahendranagar, Gollapudi, Vijaywada, Andhra Pradesh Pin code 521225",16.326527,80.347586
Andhra Pradesh,West Godavari,Jangareddygudam,"Ground Floor, bearing no.13-3-54, Opp. LIC Office, DCCB Bank near Aswaraopeta Road, Jangareddygudam, District West Godavari, Andhra Pradesh - 534447",17.122319,81.292309
Andhra Pradesh,Guntur,Tenali,"Ground Floor, No.2/2/36, Tadiboyinavari Street, Gandhi Chowk, Tenali, District Guntur- 522201, Andhra Pradesh",16.14197,80.39021
Andhra Pradesh,Y.S.R,Proddatur,"Ground Floor, 22/444, B.S.Complex, Gandhi Road, Proddatur, Kadapa, 516360, Andhra Pradesh",14.747676,78.547133
Andhra Pradesh,Prakasam,Ongole,"Ground Floor, Ward no. 6, block No. 17, T.S.No.684, 685, Kamasastri Veedhi Santhapet, Ongole 523001, Prakasam Andhra Pradesh",15.494623,80.049585
Andhra Pradesh,Chittoor,Tirupati Air Bypass Road,"First Floor, Basava Towers, Premise No. 19-4-123/6, AIR Bypass Road, STV Nagar, 19th Ward, Tirupati, Chittoor, 517501",13.621727,79.422256
Andhra Pradesh,VISAKHAPATNAM,"Lawsons Bay, Vizag","Door No : 4-71-2, Ground Floor, Lawson's Bay Colony, Near BABA Bazar, Visakhapatnam - 530017",17.730907,83.338643
Andhra Pradesh,VISAKHAPATNAM,"Sujatha nagar, Vizag","Shop no 1&2 Phanindra Plaza Door no 7-190/1/14,Chinnamushidiwada, Visakhapatnam-530051  Andhra Pradesh",17.8033075,83.2097433
ANDHRA PRADESH,Krishna,Poranki,"Plot No : 15-113, Ground Floor, Prabhu Nagar, Tumula Center, Poranki, Vijaywada, Andhra Pradesh - 521137",16.477139,80.703815
ANDHRA PRADESH,Rajahmundry,"T Nagar, Rajahmundry","Ground Floor, Door No. 7-26-21/1, Main Road T Nagar (Banks Street), Rajahmundry, Andhra Pradesh - 533101",16.997515,81.772046
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,"Dargamitta, Nellore","D NO 24-3-225, 1ST FLOOR, DWARAKA PLAZA, DARGAMITTA, NELLORE, ANDHRA PRADESH - 524003",14.4331,79.9679
ANDHRA PRADESH,Guntur,BAPATLA,"Indusind Bank Limited, 6-7-6/1, GBC Road, Near Old bus stop, Bapatla, Andhra Pradesh-522101",15.9051251,80.4725074
ANDHRA PRADESH,Kurnool,Nandyal,"SHOP NO 11 TO 15,JAY LAKSHMI PLAZA,H NO 25/505/A SRINIVASA NAGAR, NANDYAL , ANDHRA PRADESH - 518502",15.486325,78.48288
Andhra Pradesh,Kakinada,Specialised Br Kakinada,"Second Floor, 13-1-33/2, Sai Sadan Complex, Near Heveli Dakshin Hotel Main Road, Kakinada, Andhra Pradesh 533005",16.95638,82.234522
Andhra Pradesh,Vijayawada / NTR,Specialised Br Vijyawada Patamata Road,"Ground and First Floor 59A-15-22, Bhadrayanagar, NTR Circle, Patamata Road, Vijayawada, Andhra Pradesh 520010",16.4986673,80.6594754
ANDHRA PRADESH,Vijayawada (Urban),"Lotus Land Mark, Vijaywada","J R R Complex, Plot no :8 Beside Lotus Landmark , Opp Alluri Sitaramaraju Park, Ayodhya Nagar, Vijayawada - 520003  Andhra Pradesh",16.525518,80.631983
Andhra Pradesh,Visakhapatnam,"Specialised Br Akkayyapalem, Visakhapatnam","Second Floor, No. 43-9-226, Sripriya Complex, Main Road Railway New Colony, Akkayyapalem, Visakhapatnam 530016 Andhra Pradesh",17.727688,83.292595
