"Branch Name"@"City"@"State/UT"@"Business Hours"@"Contact Number"@"Address"@"Latitude"@"Longitude"@"Location URL"
"Protium Finance Limited, Vikrant Tower 6th Floor"@"New Delhi"@"Delhi"@"9:30 AM to 6:30 PM, Monday to Saturday , First and Second Saturdays are holidays"@"8828820004"@"Office No. 601, 2, 3, 4, 6th Floor, Vikrant Tower, Rajendra Place, New Delhi, Delhi, 110008."@"28.6458351"@"77.1779783"@"https://www.google.com/maps/place/Protium+Finance+Limited/@28.6458351,77.1779783,15z/data=!4m6!3m5!1s0x390d03fc413913f3:0x5a459b24173eebf6!8m2!3d28.6458351!4d77.1779783!16s%2Fg%2F11rrpqw6hw?hl=en-GB&entry=tts&g_ep=EgoyMDI0MDgwNS4wKgBIAVAD"
"Protium Finance Limited, Rani Gunj"@"Hyderabad"@"Telangana"@"9:30 AM to 6:30 PM, Monday to Saturday , First and Second Saturdays are holidays"@"8828820004"@"Unit: 1101, 11th Floor, T19 Towers, M G Road, Indiranagar, Rani Gunj, Hyderabad, Telangana, 500003."@"17.4310444"@"78.487908"@"https://www.google.com/maps/place/Protium+Finance+Limited/@17.4310444,78.487908,15z/data=!4m6!3m5!1s0x3bcb9b5684a03bdb:0x29800a186423f712!8m2!3d17.4310444!4d78.487908!16s%2Fg%2F11w221vrn8?hl=en-GB&entry=tts&g_ep=EgoyMDI0MDgwNS4wKgBIAVAD"
"Protium Finance Limited, JM Road"@"Pune"@"Maharashtra"@"9:30 AM to 6:30 PM, Monday to Saturday , First and Second Saturdays are holidays"@"8828820004"@"Office No.24,25,26,27,28, 5th Floor, Ayaan Chandrika, CTS No- 1315, F.P.No -701, J.M Road, Bhamburda, Shivaji Nagar, Pune, Maharashtra, 411005."@"18.5236469"@"73.8494358"@"https://www.google.com/maps/place/Protium+Finance+Limited/@18.5236469,73.8494358,17z/data=!3m1!4b1!4m6!3m5!1s0x3bc2c13d9352b01d:0x6a1a64c0f2940856!8m2!3d18.5236469!4d73.8494358!16s%2Fg%2F11y79xmcdr?entry=tts&g_ep=EgoyMDI0MTIxMS4wIPu8ASoASAFQAw%3D%3D"
"Protium Finance Limited, Ahmedabad"@"Ahmedabad"@"Gujarat"@"9:30 AM to 6:30 PM, Monday to Saturday , First and Second Saturdays are holidays"@"8828820004"@"Office No. 710,711, 712, 7th Floor, Majestic, Near Cafe Coffee Day,  Law Garden, Ellisbridge, Ahmedabad, Gujarat, 380006."@"23.0239279"@"72.5581586"@"https://www.google.com/maps/place/Protium+Finance+Limited/@23.0239279,72.5581586,17z/data=!3m1!4b1!4m6!3m5!1s0x395e8598d32cce0d:0xfdc2978bacb2c87!8m2!3d23.0239279!4d72.5581586!16s%2Fg%2F11w8hvxlgp?entry=tts&g_ep=EgoyMDI0MTIxMS4wIPu8ASoASAFQAw%3D%3D"
"Protium Finance Limited, Piccaso Bithi"@"Kolkata"@"West Bengal"@"9:30 AM to 6:30 PM, Monday to Saturday , First and Second Saturdays are holidays"@"8828820004"@"4th Floor, Sai Krishna Building, 10C, Piccaso Bithi ( formerly known as Hungerford Street), Shakespeare Sarani, Kolkata, West Bengal, 700017."@"22.5441434"@"88.3548933"@"https://www.google.com/maps/place/Protium+Finance+Limited/@22.5441434,88.3548933,15z/data=!4m6!3m5!1s0x3a0277d2f21f4119:0xd94f2645b81c2b49!8m2!3d22.5441434!4d88.3548933!16s%2Fg%2F11w223622_?hl=en-GB&entry=tts&g_ep=EgoyMDI0MDgwNS4wKgBIAVAD"
"Protium Finance Limited, Coimbatore"@"Coimbatore"@"Tamil Nadu"@"9:30 AM to 6:30 PM, Monday to Saturday , First and Second Saturdays are holidays"@"8828820004"@"79/1 A, 1st Floor, Sir Shanmugam Road, Rathinasababathy Puram, Coimbatore, Tamil Nadu, 641002."@"11.0102004"@"76.9526383"@"https://www.google.com/maps/place/Protium+Finance+Limited/@11.0102004,76.9526383,15z/data=!4m6!3m5!1s0x3ba859630560b923:0xa26c3fdb4e3beec8!8m2!3d11.0102004!4d76.9526383!16s%2Fg%2F11w4nqv1gm?sa=X&ved=1t:2428&hl=en-GB&ictx=111&entry=tts&g_ep=EgoyMDI0MDgwNS4wKgBIAVAD"
"Protium Finance Limited, Egmore"@"Chennai"@"Tamil Nadu"@"9:30 AM to 6:30 PM, Monday to Saturday , First and Second Saturdays are holidays"@"8828820004"@"No 62,4th Floor, New Parade view, Opposite to Rajaratnam stadium, Rukmani Lakshmipathi Road, Egmore, Chennai, Tamil Nadu, 600029."@"13.0669754"@"80.2605748"@"https://www.google.com/maps/place/Protium+Finance+Limited/@13.0669754,80.2605748,15z/data=!4m6!3m5!1s0x3a526798b1b1fa2d:0x8d7b3e3efef3c104!8m2!3d13.0669754!4d80.2605748!16s%2Fg%2F11y5_1pg7d?hl=en-GB&entry=tts&g_ep=EgoyMDI0MDgwNS4wKgBIAVAD"
"Protium Finance Limited, Basavanagudi"@"Bangalore"@"Karnataka"@"9:30 AM to 6:30 PM, Monday to Saturday , First and Second Saturdays are holidays"@"8828820004"@"Aishwarya Sampoorna, 79-1/2, 1st Floor, Vani Vilas Road, Basavanagudi, Bangalore, Karnataka, 560004."@"12.9480538"@"77.5689214"@"https://www.google.com/maps/place/Protium+Finance+Limited/@12.9480538,77.5689214,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15e76d462a11:0x898a7f8992117669!8m2!3d12.9480538!4d77.5689214!16s%2Fg%2F11w43jtj57?entry=tts&g_ep=EgoyMDI0MTIxMS4wIPu8ASoASAFQAw%3D%3D"
"Protium Finance Limited, Mundra Bhavan"@"Jaipur"@"Rajasthan"@"9:30 AM to 6:30 PM, Monday to Saturday , First and Second Saturdays are holidays"@"8828820004"@"1st Floor, Plot No 3, Mundra Bhawan, Landmark - Church Road, Ajmer Road, Church Road, Jaipur, Rajasthan, 302001."@"26.9160616"@"75.7989437"@"https://www.google.com/maps/place/Protium+Finance+Limited/@26.9160616,75.7989437,15z/data=!4m6!3m5!1s0x396db5b09f08ee31:0x2a7dd2be487e2b8e!8m2!3d26.9160616!4d75.7989437!16s%2Fg%2F11w43kgvyv?hl=en-GB&coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNS4wKgBIAVAD"
"Protium Finance Limited, Korattur"@"Chennai"@"Tamil Nadu"@"9:30 AM to 6:30 PM, Monday to Saturday , First and Second Saturdays are holidays"@"8828820004"@"No.48B, Ground Floor, Siva Nivas, South Railway Road, Venkatraman Nagar, Korattur, Chennai, Tamil Nadu, 600080."@"13.1112854"@"80.1826919"@"https://www.google.com/maps/place/Protium+Finance+Limited/@13.1112854,80.1826919,15z/data=!4m6!3m5!1s0x3a52630c63ce4693:0x858c047b51a1be7c!8m2!3d13.1112854!4d80.1826919!16s%2Fg%2F11y5_1b_lx?hl=en-GB&coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNS4wKgBIAVAD"
"Protium Finance Limited, Balanagar"@"Hyderabad"@"Telangana"@"9:30 AM to 6:30 PM, Monday to Saturday , First and Second Saturdays are holidays"@"8828820004"@"Lendalay Estate, 6-3-74/75, Balanagar Main Road, Opposite to NRSC, Shobana Colony, Hyderabad, Telangana, 500042."@"17.4647275"@"78.4501671"@"https://www.google.com/maps/place/Protium+Finance+Limited/@17.4647275,78.4501671,15z/data=!4m6!3m5!1s0x3bcb91ef5272874b:0x6dece48551e257!8m2!3d17.4647275!4d78.4501671!16s%2Fg%2F11w1wcq241?hl=en-GB&coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNS4wKgBIAVAD"
"Protium Finance Limited, Dilsukhnagar"@"Hyderabad"@"Telangana"@"9:30 AM to 6:30 PM, Monday to Saturday , First and Second Saturdays are holidays"@"8828820004"@"House No. 16-11-579-1-1, 16-11-579-1-2,3,4, 2nd Floor, Tomasoma Jyothirgamaya Building, Dilsukhnagar, Gaddiannaram, Hyderabad, Telangana, 500060."@"17.3645523"@"78.5217912"@"https://www.google.com/maps/place/Protium+Finance+Limited/@17.3645523,78.5217912,17z/data=!3m1!4b1!4m6!3m5!1s0x3bcb990f8fef4ecd:0xbcdc25b1eeb410b4!8m2!3d17.3645523!4d78.5217912!16s%2Fg%2F11x0_dklj1?entry=tts&g_ep=EgoyMDI1MDMxOC4wIPu8ASoASAFQAw%3D%3D"
"Protium Finance Limited, Peenya"@"Bangalore"@"Karnataka"@"9:30 AM to 6:30 PM, Monday to Saturday , First and Second Saturdays are holidays"@"8828820004"@"1st Floor, 694, 1st Main, T Dasarahalli, Near Dasarahalli Metro Station, Dasarahalli, Bangalore, Karnataka, 560057."@"13.043444"@"77.5131142"@"https://www.google.com/maps/place/Protium+Finance+Limited/@13.043444,77.5131142,15z/data=!4m6!3m5!1s0x3bae3d7a3a22bf77:0x810c3cb6038e4f2d!8m2!3d13.043444!4d77.5131142!16s%2Fg%2F11y5_11sc3?hl=en-GB&coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNS4wKgBIAVAD"
"Protium Finance Limited, Adambakkam"@"Chennai"@"Tamil Nadu"@"9:30 AM to 6:30 PM, Monday to Saturday , First and Second Saturdays are holidays"@"8828820004"@"No. 7A, 1st Floor, Citi Link Road, Adambakkam, Chennai, Tamil Nadu, 600088."@"12.9958983"@"80.2069721"@"https://www.google.com/maps/place/Protium+Finance+Limited/@12.9958983,80.2069721,17z/data=!3m1!4b1!4m6!3m5!1s0x3a525d706b3bed4d:0xfaedd0766c12fc09!8m2!3d12.9958983!4d80.2069721!16s%2Fg%2F11w43jhk0q?entry=tts&g_ep=EgoyMDI0MTIxMS4wIPu8ASoASAFQAw%3D%3D"
